Sl. No.,Name of District,Name of Police Station,Name of Landmark,Name of Location,Name of Road,Type of Road,Sum of Fatal & Grievous Injury Crashes,Number of Fatalities,Accident Severity Index,Latitude,Longitude
117,Kollam,Kottiyam PS,110m after IOC Petrol Pump - Sitara Junction,KIMS Kottiyam,National Highway 66 (NH 66),NH,38,6,138,8.864681200000001,76.6813641
118,Thiruvananthapuram,Attingal,"Yamuna & Kaveri Theatres - Bharath Petroleum Pump, Mamom",Mamom,National Highway 66 (NH 66),NH,39,5,137,28.04303824942533,79.47221735962242
119,Kollam,KUNDARA,St Antony's Shrine - Kundara Railway Station,Mukkada Junction,National Highway 744 (NH 744),NH,39,5,137,8.9578446,76.67384419999999
120,Malappuram,Thenhipalam,Kalarickaliyettu Durga temple- KINFRA,Kakkanchery,National Highway 66 (NH 66),NH,35,8,137,11.1556686,75.891155
121,Thrissur,Pudukkad,60 mts after Jancy Raod Jn - SBI ATM Thalore,Thalore,Thrissur - Thalore Road (High Roa,SH,36,8,136,10.4546512,76.2535486
122,Ernakulam,CITY TRAFFIC WEST,Cherukulam Rd Jn - Panchayath Raj Rd Jn,Palluruthy,Aroor - Thoppumpady road,SH,45,0,135,9.9215812,76.2735721
123,Kottayam,PALAI,Hotel Bion - Lalam Bridge Junction,Lalam Bridge,Main Eastern Highway (SH 8),SH,41,3,135,,
124,Ernakulam,CITY TRAFFIC EAST,Le Meridian - Audi Kochi,Kundanoor Junction,National Highway 66 (NH 66),NH,41,3,135,9.944636599999999,76.31451880000002
125,Kollam,CHAVARA,Vijaya Palace -  Star Bike Workshop,Nallezuthu Junction,National Highway 66 (NH 66),NH,38,5,134,8.9847975,76.5306878
126,Ernakulam,CITY TRAFFIC EAST,Hotel Malabar Illam - Tata Motors,Chalikkavattom,National Highway 66 (NH 66),NH,34,9,134,9.9810576,76.3247705
127,Ernakulam,ALUVA,Tamarind Rajadhani - Pulinchuvadu Metro Station,Pulinchuvadu,National Highway 544 (NH - 544),NH,39,4,133,9.759754899999999,76.4009854
128,Ernakulam,CITY TRAFFIC EAST,PVS Hospital - Mathrubhumi Junction,Kaloor Junction,Banerji Road,SH,39,4,133,9.9950461,76.2921432
129,Ernakulam,CITY TRAFFIC EAST,Decathlon - Chambakkara River Bridge,Thykoodam,National Highway 66 (NH 66),NH,39,4,133,9.9572153,76.3217567
130,Alappuzha,Aroor,"Muthoot, Eramalloor - 50m before Madeena Supermarket",Eramalloor,National Highway 66 (NH 66),NH,35,8,133,9.8234702,76.3111052
131,Idukki,THODUPUZHA,Smitha Hospital -Vengalloor School Road Junction,Vengalloor,Punalur - Muvattupuzha Road (SH,SH,41,2,131,9.9099795,76.7033471
132,Ernakulam,CITY TRAFFIC EAST,"Nest, CUSAT Junction - 70m after Town Hall",South Kalamassery Junction,National Highway 544 (NH - 544),NH,41,2,131,10.0507697,76.3200956
133,Thiruvananthapuram,City Traffic,Ranigiri Church - State Bank of India,Mananthala Junction,Main Central Road (SH 1),SH,41,2,131,8.5607378,76.94324069999999
134,Kollam,Sakthikulangara PS,Central Bank of India - 70m after NSS karayogam,Kavanad,National Highway 66 (NH 66),NH,37,5,131,8.9190445,76.5595359
135,Thiruvananthapuram,Kilimanoor,Indian Overseas Bank - Erapil Road Junction,Kilimanoor Junction,Main Central Road (SH 1),SH,37,5,131,8.769851,76.8811941
136,Thrissur,CHALAKUDI,100 mts before Mini Civil Station - CSI St Johns Church,Court Jn,National Highway 544 (NH - 544),NH,37,5,131,,
137,Ernakulam,Kalamassery,"St Mary's Church - Nest, CUSAT Junction",TVS Junction,National Highway 544 (NH - 544),NH,37,5,131,10.1269313,76.3091299
138,Thiruvananthapuram,City Traffic,180m before Thiruvallom Junction - Maruti Suzuki True Value,Thiruvallom Junction,National Highway 66 Bypass (NH 6,NH,38,5,130,8.4478996,76.9556643
139,Thiruvananthapuram,CITY TRAFFIC,NHAI RO Kerala - 80m after Pettah Junction,Pettah Junction,Palayam Airport road,OR,34,7,130,6.9367858,79.8525385
140,Kozhikode,TRAFFIC STATION,Rajaji Rd Jn -Stadium Junction,Moffusil Bus Stand,Rajaji road,OR,39,3,129,11.2579019,75.78747349999999
141,Thiruvananthapuram,Kazhakkuttom,AJ Hospital Junction - Canara Bank,Kazhakuttom Junction,National Highway 66 (NH 66),NH,39,3,129,8.566029799999999,76.87474999999999
142,Alappuzha,KUTHIYATHODE,Kelamkulangara Bhagavathi Temple - Upasana Auditorium,Kuthiathode,National Highway 66 (NH 66),NH,35,6,129,9.7934071,76.3159664
143,Kozhikode,Vatakara,Marble Mahal - Arya Bhavan Hotel,Narayana Nagar,National Highway 66 (NH 66),NH,40,2,128,12.883589,77.554711
144,Thiruvananthapuram,CITY TRAFFIC,50m after Ananthapuri Hospital - Hotel Pallava Rajadhani,Chakka,National Highway 66 Bypass (NH 6,NH,40,2,128,8.483049399999999,76.9316209
145,Ernakulam,ALUVA,Pulinchuvadu Metro Station - Forest Industries Ltd,Companypadi Junction,National Highway 544 (NH - 544),NH,36,5,128,10.0886928,76.34328699999999
146,Kollam,PARIPPALLY,Mukkada Junction - Highway Motors,Mukkada Junction,National Highway 66 (NH 66),NH,32,8,128,8.9578446,76.67384419999999
147,Kollam,OCHIRA,Hotel Royal Regency - IOC Pump,Oachira Junction,National Highway 66 (NH 66),NH,37,4,127,9.125517199999999,76.5097205
148,Ernakulam,CITY TRAFFIC EAST,Olive Furniture - Hotel Highway Garden,Oberon Mall,National Highway 66 (NH 66),NH,37,4,127,10.0144008,76.3122569
149,Thiruvananthapuram,CITY TRAFFIC,Sree Balakrishna Swamy Temple - Paruthikuzhy Junction,Paruthikuzhy Junction,National Highway 66 Bypass (NH 6,NH,37,4,127,8.4515292,76.94553499999999
150,Thiruvananthapuram,KALLAMBALAM,250m before and after 28th mile,28th Mile,National Highway 66 (NH 66),NH,38,3,126,-32.2418355,116.1191283
151,Thrissur,Kodungallur,Kodungallur Municipal Townhall - Kodungalloor Islahi Masjid,Chandapura Signal Junction,National Highway 66 (NH 66),NH,38,3,126,12.8017099,77.7116112
