"S
No.",Polic e BS No.,Name of Distt.,Name of Police Station,"No of NH
road",name of the location place,Limits high accident prone Location,Unnamed: 7,Number of Accident,Unnamed: 9,Unnamed: 10,Unnamed: 11,Number of fatalities,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
222.0,229.0,NAGAUR,KHINVSA R,NH 62,PREM NAGAUR,"JODHPUR
95.2 KM",JODHP UR 95.6 KM,3.0,3.0,2.0,8,3.0,4.0,2.0,9,25.6259039,75.2482522
223.0,230.0,NAGAUR,LADNU,NH 458,NIMBI JODHA,"NIMBI JODHA
4.2 KM","NIMBI JODHA
4.6 KM",5.0,1.0,5.0,11,7.0,2.0,7.0,16,25.5875912,85.16278319999999
224.0,216.0,BHILWAR A,jahazpur,NH 148D,sawsti dham,80 KM,"80.5
KM",3.0,3.0,7.0,13,2.0,1.0,4.0,7,25.5256149,75.173508
225.0,217.0,BHILWAR A,HANUMA N NAGAR,NH 12,TIKAR,120 KM,"120.5
KM",5.0,3.0,7.0,15,3.0,2.0,2.0,7,25.2043246,74.6019776
226.0,218.0,BHILWAR A,MANGRO P,NH 48,Guwardi nala To mandapiya Thiraya,162 KM,162.5K M,4.0,6.0,3.0,13,4.0,6.0,3.0,13,,
227.0,219.0,BHILWAR A,HAMIRG ARH,NH 48,"KANYA KHEDI CHORAHA
hamirgarh",160 KM,"160.5
KM",21.0,12.0,21.0,54,9.0,8.0,13.0,30,,
228.0,220.0,BHILWAR A,Rayla,NH 48,LAMBIYA CHOHRAYA TOOL NAKA,125 KM,"125.5
KM",6.0,2.0,2.0,10,4.0,1.0,1.0,6,25.9031773,74.66053649999999
229.0,221.0,BHILWAR A,Rayla,NH 48,SANGMA MEEL,113 KM,"113.5
KM",3.0,2.0,1.0,6,3.0,2.0,1.0,6,30.2902616,74.41665480000002
230.0,222.0,BHILWAR A,GULABPU RA,NH 48,KAWLIYAS CHORAYA,22 KM,"22.5
KM",3.0,0.0,4.0,8,3.0,0.0,4.0,6,26.5414984,77.1934011
231.0,223.0,BHILWAR A,MANDAL GARH,NH 758,RATIYAKHERA TO LADPURA CHORAHA,59.5 KM,60 KM,5.0,1.0,1.0,7,5.0,2.0,1.0,8,,
